S.No.,Discom,Zone,Circle,Division,33KV-AboveConsumerFeeder,FeederCode,Category,SupplyArea,ProjectArea,FeederVoltage,Meter-MakeType,Meter-SlNo,OverallMF,Status
936,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV MOTHER DAIRY_10164MOD,10164MOD,INDEPENDENT,OTHERS,RURAL,33,L AND T 3 PHASE 4 WIRE,10291297,1,Active
937,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV VED CULLULOSE_10164VED,10164VED,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UPP39717,0.06,Active
938,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV MAV STEEL_10164MAV,10164MAV,INDEPENDENT,OTHERS,RURAL,33,L AND T 3 PHASE 4 WIRE,9577834,60,Active
939,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV RATHI STEEL_10869RAS,10869RAS,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UP-5339A,60,Active
940,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV MOON BEVERAGE_10869MOB,10869MOB,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UP-5340A,60,Active
941,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV ADV.IMP_10164ADV,10164ADV,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UPP39729,0.06,Active
942,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV PRABHU ALLOYS_10164PRA,10164PRA,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UPP39832,0.12,Active
943,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,33 KV HARI ENGINEERING_10164HAE,10164HAE,INDEPENDENT,OTHERS,RURAL,33,SECURE 3 PHASE 4 WIRE,UPP39831,0.06,Active
944,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD II HAPUR,132 KV INOX AIR PRODUCT_19501IAP,19501IAP,INDEPENDENT,OTHERS,RURAL,132,SECURE 3 PHASE 4 WIRE,UPGE4405A,0.12,Active
945,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD II BIJNOR,33 KV LOTUS HOUSE HOLD_18568LHH,18568LHH,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP26362,0.06,Active
946,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD II BAGHPAT,33 KV MES_18578ASR,18578ASR,INDEPENDENT,OTHERS,RURAL,33,SECURE,X0869024,0.03,Active
947,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD II BAGHPAT,33 KV N.B.C.C TOWN HOUSING PROJECT_18578NTR,18578NTR,INDEPENDENT,OTHERS,RURAL,33,L&T,13286324,0.04,Active
948,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD II BAGHPAT,33 KV GAYATRI PROJECTS_18578GPK,18578GPK,INDEPENDENT,OTHERS,RURAL,33,L&T,13286587,0.05,InActive
949,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD I SHAMLI,33 KV SILVER ECOTEX_10133SIE,10133SIE,INDEPENDENT,OTHERS,RURAL,33,SECURE DLMS,Q0430537,0.09,Active
950,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD I SHAMLI,33 KV NIKITA PAPERS UNIT-II_10133NP2,10133NP2,INDEPENDENT,OTHERS,RURAL,33,SECURE DLMS,X0869034,0.2,Active
951,PASCHIMANCHAL,MUZAFFARNAGAR,EDC SHAMLI,EDD I SHAMLI,33 KV RAJRIYA IND_10133RAI,10133RAI,INDEPENDENT,OTHERS,RURAL,33,LNT DLMS,13286695,0.075,Active
952,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD I SAHARANPUR,33 KV AIR FORCE_10786AIF,10786AIF,INDEPENDENT,OTHERS,RURAL,33,L&T,7036212,2,Active
953,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD I RAMPUR,33 KV MODI ZEROX_10109IN7,10109IN7,INDEPENDENT,DISTRICT HQ,URBAN,33,L AND T,22006729,0.5,Active
954,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD I RAMPUR,33 KV DISTRICT COURT_10109DCT,10109DCT,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPP40078,15,Active
955,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD I RAMPUR,33 KV DISTRICT HOSPITAL_10109HOS,10109HOS,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPP39801,15,Active
956,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD I RAMPUR,33 KV KHAITAN FERTILIZER_10109IN9,10109IN9,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,X0372783,1,Active
957,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV INDUSTRIAL-II_18576IN2,18576IN2,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPB99638,60,Active
958,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV INDUSTRIAL-I_18576IN1,18576IN1,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,13286086,0.12,Active
959,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV PAPER MILL_10495FD8,10495FD8,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,10496310,200,Active
960,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV SILVERTON_10495FD7,10495FD7,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,11270004,75,Active
961,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV MSQ_18576MSQ,18576MSQ,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,13286085,200,Active
962,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV GULSHAN_18576GUL,18576GUL,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,13286035,60,Active
963,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV DISHA_18576DIS,18576DIS,INDEPENDENT,OTHERS,RURAL,33,L&T DLMS,11269909,100,Active
964,PASCHIMANCHAL,MUZAFFARNAGAR,EDC I MUZAFFARNAGAR,EDD I MUZAFFARNAGAR,33 KV SIDHBALI_10495SID,10495SID,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1332399,300,Active
965,PASCHIMANCHAL,MORADABAD,EDC MORADABAD,EDD I MORADABAD,132 KV RANA SUGAR_18563RAS,18563RAS,INDEPENDENT,OTHERS,RURAL,132,SECURE,APMB0132,0.24,Active
966,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV PASWARA_10001PAS,10001PAS,INDEPENDENT,OTHERS,URBAN,33,LNT,9577109,60,Active
967,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV SUMIT AGRO_10001SUM,10001SUM,INDEPENDENT,OTHERS,URBAN,33,LNT,9577105,60,Active
968,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV MEERUT CITY TRANSPORT_10505MCT,10505MCT,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332428,60,Active
969,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV JAI NARYAN FUBRIK TECH_18501JNF,18501JNF,INDEPENDENT,OTHERS,URBAN,33,LNT,13286097,0.08,Active
970,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV DEV SHREE_10504DEV,10504DEV,INDEPENDENT,OTHERS,URBAN,33,LNT,13286978,60,Active
971,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV KANOHAR ELECTRICAL_10504KAN,10504KAN,INDEPENDENT,OTHERS,URBAN,33,LNT,9577233,22.5,Active
972,PASCHIMANCHAL,MEERUT-II,EDC I MEERUT,EDD I MEERUT,33 KV AL-FEAM MEAT_10505ALF,10505ALF,INDEPENDENT,OTHERS,URBAN,33,LNT,9577605,60,Active
973,PASCHIMANCHAL,MEERUT-II,EDC II MEERUT,EDD I MAWANA,33 KV NIPRO GLASS_18505NIG,18505NIG,INDEPENDENT,OTHERS,RURAL,33,LNT,9577099,60,Active
974,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD I HAPUR,33 KV MARINO UNIT-I_19522MAR,19522MAR,INDEPENDENT,OTHERS,URBAN,33,SECURE 3 PHASE 4 WIRE,UPT59727,0.5,Active
975,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD I HAPUR,33 KV KIRPA RAM_19501KIR,19501KIR,INDEPENDENT,OTHERS,URBAN,33,SECURE 3 PHASE 4 WIRE,SIE56710,2,Active
976,PASCHIMANCHAL,BULANDSHAHAR,EDC HAPUR,EDD I HAPUR,33 KV NAV BHARAT_10195NAV,10195NAV,INDEPENDENT,TEHSIL HQ,URBAN,33,L AND T 3 PHASE 4 WIRE,7253134,60,Active
977,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I GAJRAULA,33 KV A.Q. FROZEN_18548AQF,18548AQF,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP39663,0.03,Active
978,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I GAJRAULA,33 KV BEST BOARD_10139BST,10139BST,INDEPENDENT,OTHERS,URBAN,33,L AND T,9577063,60,Active
979,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I GAJRAULA,33 KV SHRI ACID_10139SHA,10139SHA,INDEPENDENT,OTHERS,URBAN,33,L AND T,9577062,120,Active
980,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I GAJRAULA,33 KV TEVA_10139TWA,10139TWA,INDEPENDENT,OTHERS,URBAN,33,L AND T,95777092,60,Active
981,PASCHIMANCHAL,GAJRAULA,EDC DHAMPUR,EDD I DHAMPUR,33 KV TIRMULA RICE MILL_19512TRM,19512TRM,INDEPENDENT,OTHERS,URBAN,33,L AND T,13286922,0.015,Active
982,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I CHANDPUR,33 KV CHANDPUR ENTERPRISES PAPER DIV_18560CEP,18560CEP,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP68563,60,Active
983,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I CHANDPUR,33 KV ENERSHELL ALLOYS_18560ENA,18560ENA,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP64765,60,Active
984,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I CHANDPUR,33 KV ENNERSHELL ALLOYS 2_18560EN2,18560EN2,INDEPENDENT,OTHERS,RURAL,33,SECURE,UPP69390,60,Active
985,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV HPU (JINDAL)_10497HPU,10497HPU,INDEPENDENT,OTHERS,RURAL,33,SECURE,XF460369,60,Active
986,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV AYESHA STEELS_10440AYS,10440AYS,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332437,0.06,Active
987,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV V. R. S. FOOD_10440VRS,10440VRS,INDEPENDENT,OTHERS,URBAN,33,SECURE,X2040882,60,Active
988,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV HYGIENE_10481HYG,10481HYG,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP69974,0.06,Active
989,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV AFIA STEEL_10481AFI,10481AFI,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332446,0.06,Active
990,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV HI TECH_10481HIG,10481HIG,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68762,30,Active
991,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV GOEL ASSOCIATES_10481GOE,10481GOE,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68842,60,Active
992,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV APOLLO TUBES_10481APT,10481APT,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68802,60,Active
993,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV APOLLO METALIX_10481AMP,10481AMP,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68872,60,Active
994,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV SAINI ALLOY_10481SAI,10481SAI,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68403,60,Active
995,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV SONIYA STEEL_10481SON,10481SON,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68971,60,Active
996,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV UP TWIGA_10481TWG,10481TWG,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332039,60,Active
997,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV BLUE STAR_10481BLS,10481BLS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68851,0.06,Active
998,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV PPL_10481PPL,10481PPL,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP69042,60,Active
999,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV R.M.G._10481RMG,10481RMG,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68903,60,Active
1000,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV CELLCOM_10481CEL,10481CEL,INDEPENDENT,OTHERS,URBAN,33,SECURE,X2040880,0.06,Active
1001,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV KAJARIA CERAMICS_10481KAJ,10481KAJ,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68236,60,Active
1002,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV GOOD LUCK_10481GOL,10481GOL,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68664,60,Active
1003,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV MAHAVEER CONCAST_10481MVR,10481MVR,INDEPENDENT,OTHERS,URBAN,33,LNG,U0233063,60,Active
1004,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV GANGESHWARI METAL_10481GAN,10481GAN,INDEPENDENT,OTHERS,URBAN,33,SECURE,X1332438,60,Active
1005,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV KOTHARI_10481KOT,10481KOT,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68840,22.5,Active
1006,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV ULTRATECH CEMENT_10481UTL,10481UTL,INDEPENDENT,OTHERS,URBAN,33,GENUS,A3028307,60,Active
1007,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV ORIENT BELL_10481ORB,10481ORB,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68764,60,Active
1008,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,33 KV MASTER JI_10481MSM,10481MSM,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP68662,18,Active
1009,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,132 KV SHREE CEMENT_10481SHR,10481SHR,INDEPENDENT,TEHSIL HQ,URBAN,132,SECURE,UP3356A,0.24,Active
1010,PASCHIMANCHAL,BULANDSHAHAR,EDC II BULANDSHAHAR,EDD I BULANDSHAHAR,132 KV AMBA SHAKTI_10481AMS,10481AMS,INDEPENDENT,DISTRICT HQ,URBAN,132,SECURE,UPP68385,0.24,Active
1011,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I BIJNOR,33 KV AGRISTO MASA_18591AGM,18591AGM,INDEPENDENT,OTHERS,RURAL,33,L AND T,UP0176A,0.06,Active
1012,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I BIJNOR,33 KV PERMARTH IND_18568PER,18568PER,INDEPENDENT,OTHERS,RURAL,33,L AND T,9577134,60,Active
1013,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I BIJNOR,33 KV BIJNOR CHEMICAL_18568BIC,18568BIC,INDEPENDENT,OTHERS,RURAL,33,L AND T,9577849,60,Active
1014,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I BIJNOR,33 KV DISTRICT COURT_18515DIC,18515DIC,INDEPENDENT,DISTRICT HQ,URBAN,33,SECURE,UPP26364,0.06,Active
1015,PASCHIMANCHAL,GAJRAULA,EDC BIJNOR,EDD I BIJNOR,33 KV HOSPITAL_18515HOS,18515HOS,INDEPENDENT,DISTRICT HQ,URBAN,33,L AND T,9577829,120,Active
1016,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD I BARAUT,33 KV PGCIL_10189PGC,10189PGC,INDEPENDENT,OTHERS,URBAN,33,LNT,13286756,10,InActive
1017,PASCHIMANCHAL,MEERUT-II,EDC BAGHPAT,EDD I BAGHPAT,33 KV DISTRICT HOSPITAL_18508DIH,18508DIH,INDEPENDENT,TEHSIL HQ,RURAL,33,SECURE,X2040696,0.025,Active
1018,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I AMROHA,33 KV DISTRICT COURT_18524CRT,18524CRT,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPL14377,0.001,Active
1019,PASCHIMANCHAL,GAJRAULA,EDC AMROHA,EDD I AMROHA,33 KV GOVT. HOSPITAL_18524HOS,18524HOS,INDEPENDENT,OTHERS,URBAN,33,SECURE,UPP039782,0.12,Active
1020,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD DEOBANDH,33 KV HARI ISPAT_10839HAI,10839HAI,INDEPENDENT,OTHERS,TEHSIL,33,SECURE,11269861,120,Active
1021,PASCHIMANCHAL,BULANDSHAHAR,EDC III BULANDSHAHAR,EDD DEBAI,33 KV VB FOODS_10260VBF,16111390960VFO,INDEPENDENT,OTHERS,RURAL,33,DLMS,UPC89408,1,Active
1022,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,33 KV AL SAMEER_18552ALS,18552ALS,INDEPENDENT,OTHERS,RURAL,33,L AND T,X0869077,0.09,InActive
1023,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,33 KV CHADDA PAPER MILL_18552CPM,18552CPM,INDEPENDENT,OTHERS,RURAL,33,L AND T,9142954,1,Active
1024,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,33 KV G.E.S.L._18552GES,18552GES,INDEPENDENT,OTHERS,RURAL,33,L AND T,9577006,120,Active
1025,PASCHIMANCHAL,MORADABAD,EDC RAMPUR,EDD BILASPUR,33 KV G.P.L._18552GPL,18552GPL,INDEPENDENT,TEHSIL HQ,RURAL,33,L AND T,13193482,1,Active
1026,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD BEHAT,33 KV VENCO RESEARCH_19504VER,19504VER,INDEPENDENT,OTHERS,RURAL,33,SECURE,X1332572,1,Active
1027,PASCHIMANCHAL,SAHARANPUR,EDC I SAHARANPUR,EDD BEHAT,33 KV VENCO RESEARCH_10802VEN,10802VEN,INDEPENDENT,OTHERS,RURAL,33,SECURE,9576979,30,Active
1028,PASCHIMANCHAL,MORADABAD,EDC SAMBHAL,EDD BABRALA,132 KV DSM RAJPURA_18561DSM,18561DSM,INDEPENDENT,OTHERS,RURAL,132,"SECURE, HTTVM",UPP70123,480,Active
